,cell_type
GSM1658365,fetal_quiescent
GSM1658366,fetal_quiescent
GSM1658364,fetal_quiescent
GSM1658363,fetal_quiescent
GSM1658362,fetal_quiescent
GSM1658361,fetal_quiescent
GSM1658348,fetal_quiescent
GSM1658350,fetal_quiescent
GSM1658351,fetal_quiescent
GSM1658352,fetal_quiescent
GSM1658353,fetal_quiescent
GSM1658354,fetal_quiescent
GSM1658355,fetal_replicating
GSM1658356,fetal_quiescent
GSM1658357,fetal_quiescent
GSM1658358,fetal_quiescent
GSM1658359,fetal_quiescent
GSM1658360,fetal_quiescent
GSM1658244,fetal_quiescent
GSM1658245,fetal_quiescent
GSM1658246,fetal_quiescent
GSM1658247,fetal_quiescent
GSM1658248,fetal_quiescent
GSM1658249,fetal_quiescent
GSM1658251,fetal_quiescent
GSM1658253,fetal_quiescent
GSM1658255,fetal_quiescent
GSM1658257,fetal_quiescent
GSM1658259,fetal_quiescent
GSM1658336,fetal_quiescent
GSM1658337,fetal_quiescent
GSM1658338,fetal_quiescent
GSM1658339,fetal_quiescent
GSM1658340,fetal_quiescent
GSM1658341,fetal_quiescent
GSM1658342,fetal_quiescent
GSM1658343,fetal_quiescent
GSM1658344,fetal_quiescent
GSM1658345,fetal_quiescent
GSM1658346,fetal_quiescent
GSM1658347,fetal_replicating
GSM1658349,fetal_quiescent
GSM1658262,fetal_quiescent
GSM1658264,fetal_quiescent
GSM1658266,fetal_quiescent
GSM1658268,fetal_quiescent
GSM1658270,fetal_quiescent
GSM1658272,fetal_quiescent
GSM1658275,fetal_quiescent
GSM1658277,fetal_quiescent
GSM1658279,fetal_quiescent
GSM1658281,fetal_quiescent
GSM1658284,fetal_quiescent
GSM1658286,fetal_quiescent
GSM1658288,fetal_quiescent
GSM1658290,fetal_quiescent
GSM1658292,fetal_quiescent
GSM1658294,fetal_quiescent
GSM1658297,fetal_quiescent
GSM1658299,fetal_quiescent
GSM1658301,fetal_quiescent
GSM1658304,fetal_replicating
GSM1658305,fetal_quiescent
GSM1658306,fetal_quiescent
GSM1658307,fetal_quiescent
GSM1658308,fetal_quiescent
GSM1658309,fetal_quiescent
GSM1658310,fetal_quiescent
GSM1658311,fetal_quiescent
GSM1658312,fetal_quiescent
GSM1658313,fetal_quiescent
GSM1658314,fetal_quiescent
GSM1658315,fetal_quiescent
GSM1658316,fetal_quiescent
GSM1658317,fetal_quiescent
GSM1658318,fetal_quiescent
GSM1658319,fetal_quiescent
GSM1658320,fetal_quiescent
GSM1658321,fetal_quiescent
GSM1658322,fetal_quiescent
GSM1658323,fetal_quiescent
GSM1658324,fetal_quiescent
GSM1658325,fetal_quiescent
GSM1658326,fetal_quiescent
GSM1658327,fetal_quiescent
GSM1658328,fetal_quiescent
GSM1658329,fetal_quiescent
GSM1658330,fetal_quiescent
GSM1658331,fetal_quiescent
GSM1658332,fetal_quiescent
GSM1658078,astrocytes
GSM1658079,astrocytes
GSM1658080,neurons
GSM1658081,astrocytes
GSM1658082,astrocytes
GSM1658083,endothelial
GSM1658084,neurons
GSM1658085,endothelial
GSM1658086,endothelial
GSM1658087,neurons
GSM1658163,neurons
GSM1658166,neurons
GSM1658167,oligodendrocytes
GSM1658168,astrocytes
GSM1658169,neurons
GSM1658170,neurons
GSM1658171,neurons
GSM1658172,neurons
GSM1658173,oligodendrocytes
GSM1658174,astrocytes
GSM1658175,neurons
GSM1658176,neurons
GSM1658177,neurons
GSM1658179,oligodendrocytes
GSM1658180,oligodendrocytes
GSM1658181,neurons
